trajectory_id,dataset_split,product,season,batch_number,disturbance_type,T_min_K,T_max_K,final_monomer_added_kg,max_reaction_heat_kW,min_U_kW_m2_K,max_viscosity,max_valve_pct,min_valve_pct,max_feed_rate_kg_s,mean_abs_T_error_K,p95_abs_T_error_K,within_0p5K_pct,within_1p0K_pct
85,train,A,summer,4,none,294.26,355.7912010355712,45.00212399155551,2.119106945546445,0.2185989286541628,578.3484886408946,51.435454141859545,47.147276608461056,0.0031202732181964,0.294446550505112,0.8623576857471278,83.27402135231317,96.55990510083036
86,train,A,winter,1,none,277.26,355.8146956961183,45.001326896341865,2.3846070142721065,0.2,578.3154985378014,51.94686957777734,46.8382627077704,0.0034939190833366,0.2703272199391555,0.870026921207295,83.92749244712991,96.79758308157099
87,train,A,winter,1,none,277.26,355.7290434497462,45.00166091237679,2.4322114959233474,0.2,578.3293225982032,51.25339225546492,47.577326679758286,0.0035483206545768,0.29763286364080366,1.1599354982486716,78.49331713244229,91.06925880923451
88,train,B,summer,2,pulse_feed,294.26,355.81501756549613,45.00015466109031,2.0248502800707397,0.2,2319.713456814016,51.4377539925024,46.65738490841605,0.0029804031145745,0.26877836337979,1.0335310102127886,85.95337716676629,94.68021518230724
89,train,B,winter,1,none,277.26,355.8269755694764,45.00062505523095,2.021066601669617,0.2,2319.8072638424032,51.52117824589498,47.25390749799304,0.0029511124814558,0.1610041667114918,0.4405109362706752,96.68508287292818,100.0
90,train,A,summer,3,pulse_feed,294.26,355.7980014974527,45.00116990434814,2.12194743817084,0.2,578.3090011268365,51.7254450538354,46.00392126066341,0.0031043725246191,0.3642335954758379,1.2196159652804197,76.90476190476191,91.07142857142857
91,train,A,winter,1,none,277.26,355.80853953622454,45.00011460345426,1.7386322839473736,0.2,578.2653268606745,52.032424189078206,46.98191643635208,0.0025703435220565,0.19722470456454494,0.6040948182326699,91.0248635536689,99.87871437234688
92,train,B,winter,5,none,277.26,355.8088362940821,45.00031309977195,2.1362272757034577,0.2266532799488637,2319.745052678292,51.85660363862061,46.54578127464219,0.0031183327586934,0.24490158875740867,1.0237012311293596,83.17365269461078,94.73053892215569
93,train,A,winter,2,none,277.26,355.81336494482053,45.00303161591078,2.273636651284582,0.2148651945679876,578.3860549583218,51.19181712372432,47.64163397406132,0.0033459677462437,0.11789982195287109,0.47049040216582794,95.26378896882494,99.40047961630695
94,train,A,winter,3,none,277.26,355.8504192328647,45.00005781450133,2.1462718890218824,0.2045381807212619,578.2629766825594,51.56774828696606,47.00563857713851,0.0031245047136351,0.18363615348963783,0.5218584801330337,94.32367149758454,100.0
95,train,A,winter,2,feed_temp,277.26,355.79529212591376,45.00153892737442,2.262913447724935,0.2,578.3242739267574,51.5286147363772,47.266794506682366,0.0033288939601955,0.2399494732698693,0.7053833077556646,87.24304715840387,98.42805320435308
96,train,A,summer,3,none,294.26,355.85792327774146,45.00069995891336,1.883326262758824,0.2224769580281837,578.2895518582507,51.42759708021691,46.91446556921097,0.002748596127015,0.09656871779519556,0.293774401052576,99.46714031971581,100.0
97,train,B,winter,4,none,277.26,355.69946335870816,45.000063884414615,2.0436581808276078,0.2201637479431684,2319.7889921631486,51.50159441137343,47.13379102250193,0.0030178678306292,0.20694482543777257,0.779463478535079,85.78342407743497,98.79007864488808
98,train,A,winter,5,pulse_feed,277.26,355.8027136370909,45.00017976360878,2.012534251820387,0.2205762081947393,578.3134029139545,51.46286550629254,47.02130763732092,0.0029641810067101,0.2806684889922762,0.8657482071415753,77.14113389626056,98.67310012062727
99,train,A,winter,1,none,277.26,355.7488087910222,45.0006945970872,1.9644855890497397,0.2065144711796087,578.2893299552176,51.51830674181159,47.40904837678133,0.002878872459507,0.2189453761560004,0.7612800404009247,87.08708708708708,98.43843843843844
100,train,A,winter,5,none,277.26,355.799350820284,45.00045580593597,2.0194492318173216,0.2,578.2794474729333,51.46765615488123,47.23963401855863,0.0029700591984042,0.2894692537198437,0.8872197698599102,81.73543689320388,96.72330097087378
101,train,A,summer,4,none,294.26,355.8347718881372,45.000997854659154,1.93159660798228,0.2,578.3018805847994,51.655352853959805,46.96581132693687,0.0028285463864636,0.16526933467973817,0.44430561250667305,96.89181111775254,100.0
102,train,B,summer,4,none,294.26,355.8102075869378,45.00055711401999,2.151614645001988,0.2,2319.7937146781337,51.3550150492503,46.62234310802615,0.0031733735666973,0.25012909533335465,0.857005019748547,81.97604790419162,98.20359281437125
103,train,A,summer,1,cooling_water,294.26,355.8193271890281,45.000069371517526,1.9654355482636008,0.2,578.2634549624725,51.46495913896574,46.59082251174066,0.0029197771004043,0.19108743528029534,0.49076752456857364,95.40023894862605,99.8805256869773
